block_num,trial_num,bar_angle,bar_length,vis_feedback,vis_feedback_time,wm_init_time,wm_stimulus,wm_position,wm_stim_frames,wm_modality,wm_nback,wm_task_is_dual
0,1,0,60,1,700,66.6,Two-4-5-Back,4,6,motor,0,0
0,2,0,60,1,700,99.92,Three-1-2-3-Back,4,6,motor,0,0
0,3,0,60,1,700,66.6,Four-1-3-4-5-Back,4,6,motor,0,0
0,4,0,60,1,700,99.92,Three-2-3-5-Back,4,6,motor,0,0
0,5,0,60,1,700,66.6,Four-1-3-4-5-Back,4,6,motor,0,0
1,1,0,50,1,700,66.6,Two-3-5-Back,4,6,motor,0,0
1,2,0,50,1,700,99.92,Four-1-2-4-5-Back,4,6,motor,0,0
1,3,0,50,1,700,66.6,Two-4-5-Back,4,6,motor,0,0
1,4,0,50,1,700,99.92,Four-1-2-4-5-Back,4,6,motor,0,0
1,5,0,50,1,700,66.6,Four-1-3-4-5-Back,4,6,motor,0,0
1,6,0,50,1,700,99.92,Three-2-3-5-Back,4,6,motor,0,0
1,7,0,50,1,700,66.6,Two-3-4-Back,4,6,motor,0,0
1,8,0,50,1,700,99.92,Three-2-3-5-Back,4,6,motor,0,0
1,9,0,50,1,700,66.6,Four-1-2-4-5-Back,4,6,motor,0,0
1,10,0,50,1,700,99.92,Three-2-3-5-Back,4,6,motor,0,0
2,1,0,40,1,700,66.6,Two-3-4-Back,4,6,motor,0,0
2,2,0,40,1,700,99.92,Four-1-2-3-5-Back,4,6,motor,0,0
2,3,0,40,1,700,66.6,Three-1-2-3-Back,4,6,motor,0,0
2,4,0,40,1,700,99.92,Three-2-3-5-Back,4,6,motor,0,0
2,5,0,40,1,700,66.6,Two-4-5-Back,4,6,motor,0,0
2,6,0,40,1,700,99.92,Four-1-3-4-5-Back,4,6,motor,0,0
2,7,0,40,1,700,66.6,Three-2-3-5-Back,4,6,motor,0,0
2,8,0,40,1,700,99.92,Four-1-3-4-5-Back,4,6,motor,0,0
2,9,0,40,1,700,66.6,Three-2-3-4-Back,4,6,motor,0,0
2,10,0,40,1,700,99.92,Two-4-5-Back,4,6,motor,0,0
3,1,0,60,1,700,66.6,Two-3-4-Back,4,6,motor,0,0
3,2,0,60,1,700,99.92,Four-1-2-3-5-Back,4,6,motor,0,0
3,3,0,60,1,700,66.6,Three-1-2-3-Back,4,6,motor,0,0
3,4,0,60,1,700,99.92,Three-2-3-5-Back,4,6,motor,0,0
3,5,0,60,1,700,66.6,Two-4-5-Back,4,6,motor,0,0
3,6,0,60,1,700,99.92,Four-1-3-4-5-Back,4,6,motor,0,0
3,7,0,60,1,700,66.6,Three-2-3-5-Back,4,6,motor,0,0
3,8,0,60,1,700,99.92,Four-1-3-4-5-Back,4,6,motor,0,0
3,9,0,60,1,700,66.6,Three-2-3-4-Back,4,6,motor,0,0
3,10,0,60,1,700,99.92,Two-4-5-Back,4,6,motor,0,0
