block_num,is_practice_block,trial_num,bar_angle,bar_length,vis_feedback,vis_feedback_time,wm_init_time,wm_stimulus,wm_position,wm_stim_frames,wm_modality,wm_nback,wm_task_is_dual
6,0,1,0,60,1,749,83.3,Two-3-4-Back,4,24,digits,NaN,1
6,0,2,0,60,1,749,83.3,Two-4-5-Back,4,24,digits,NaN,1
6,0,3,0,60,1,749,83.3,Four-1-3-4-5-Back,4,24,digits,2,1
6,0,4,0,60,1,749,83.3,Three-2-3-5-Back,4,24,digits,2,1
7,0,1,0,50,1,749,83.3,Three-2-3-5-Back,4,24,digits,NaN,1
7,0,2,0,50,1,749,83.3,Four-1-2-4-5-Back,4,24,digits,NaN,1
7,0,3,0,50,1,749,83.3,Three-2-3-4-Back,4,24,digits,2,1
7,0,4,0,50,1,749,83.3,Two-3-5-Back,4,24,digits,2,1
7,0,5,0,50,1,749,83.3,Four-1-3-4-5-Back,4,24,digits,2,1
7,0,6,0,50,1,749,83.3,Two-4-5-Back,4,24,digits,2,1
7,0,7,0,50,1,749,83.3,Two-3-4-Back,4,24,digits,2,1
7,0,8,0,50,1,749,83.3,Four-1-2-3-5-Back,4,24,digits,2,1
7,0,9,0,50,1,749,83.3,Three-1-2-3-Back,4,24,digits,2,1
7,0,10,0,50,1,749,83.3,Two-4-5-Back,4,24,digits,2,1
7,0,11,0,50,1,749,83.3,Four-1-2-4-5-Back,4,24,digits,2,1
